row,agro_cols,host_cols,agro_seas,climate_cols,type,low_auc,mid_auc,high_auc,brier_score,total_brier_score,runs
15,1,1,1,1,both,0.882003359806747,0.91144546912799,0.940887578449233,0.00276211308663053,0.0189693909322704,200
15,1,1,1,1,human,0.91229772764402,0.929518689735358,0.946739651826696,0.00723457245202811,0.0189693909322704,200
15,1,1,1,1,NHP,0.755131096623991,0.786551302783396,0.8179715089428,0.00897270539361181,0.0189693909322704,200
