"classification","row","auc_lo","auc_mid","auc_hi"
"both",10,0.876136773704074,0.912839933335368,0.949539848512402
"human",10,0.885569828226894,0.906544984787192,0.92752014134749
"NHP",10,0.757305755160179,0.788648200382328,0.819990645604477
"none",10,0.856652490629135,0.873514899919079,0.890377309209022
