"classification","row","auc_lo","auc_mid","auc_hi"
"both",4,0.708867113421547,0.759964944247041,0.811062775072536
"human",4,0.811054815424718,0.835728813263805,0.860402811102892
"NHP",4,0.65526028765572,0.689389858746495,0.723519429837271
"none",4,0.749167925472142,0.769155072381019,0.789142219289895
