"classification","row","auc_lo","auc_mid","auc_hi"
"both",8,0.802181935135125,0.850528385034715,0.898874834934305
"human",8,0.839109702518871,0.863632531339097,0.888155360159324
"NHP",8,0.661643638934509,0.696461473236583,0.731279307538658
"none",8,0.781651332011936,0.802323447981849,0.822995563951762
