"classification","row","auc_lo","auc_mid","auc_hi"
"both",9,0.853429836742859,0.893845155056664,0.934257380751682
"human",9,0.857110362793563,0.88084522296101,0.904580083128457
"NHP",9,0.749843731029831,0.781534021216442,0.813224311403052
"none",9,0.85167716379534,0.868791730460575,0.88590629712581
