"classification","row","auc_lo","auc_mid","auc_hi"
"both",12,0.823050741527727,0.866452022977942,0.909853304428157
"human",12,0.852182367311747,0.87598390705696,0.899785446802172
"NHP",12,0.74533350701163,0.774095579625345,0.802857652239061
"none",12,0.831680586839274,0.848202344290176,0.864724101741079
