"row","mtry","node_size","num.trees","OOB_RMSE"
8,1,1,100,0.140260591922497
8,2,1,100,0.140459590193168
8,3,1,100,0.140902101925995
8,4,1,100,0.140680448556532
8,1,2,100,0.140390219312749
8,2,2,100,0.140431050362874
8,3,2,100,0.140402145201183
8,4,2,100,0.140581288185985
8,1,3,100,0.140119987239159
8,2,3,100,0.140154564217387
8,3,3,100,0.140314881597727
8,4,3,100,0.140602319534365
8,1,4,100,0.140201635631549
8,2,4,100,0.140063464787833
8,3,4,100,0.140586760833906
8,4,4,100,0.140450243674025
8,1,1,200,0.139421760178485
8,2,1,200,0.139569973861938
8,3,1,200,0.139582224849722
8,4,1,200,0.139599195735248
8,1,2,200,0.139516121641289
8,2,2,200,0.139493723995552
8,3,2,200,0.139488584762719
8,4,2,200,0.139624724967583
8,1,3,200,0.139435119712534
8,2,3,200,0.139375554962472
8,3,3,200,0.139790669760025
8,4,3,200,0.139446128539223
8,1,4,200,0.139366678733998
8,2,4,200,0.139480164397318
8,3,4,200,0.139562089471557
8,4,4,200,0.139697304730313
8,1,1,300,0.13913300591022
8,2,1,300,0.13916849420922
8,3,1,300,0.13914803721615
8,4,1,300,0.139320479288246
8,1,2,300,0.139149835394708
8,2,2,300,0.139090542147923
8,3,2,300,0.139303170118858
8,4,2,300,0.139513406576586
8,1,3,300,0.138987470977749
8,2,3,300,0.139127120786291
8,3,3,300,0.139082572437401
8,4,3,300,0.139217698455326
8,1,4,300,0.139106075497117
8,2,4,300,0.139005456044252
8,3,4,300,0.139276627997892
8,4,4,300,0.139312669286974
8,1,1,400,0.139020100572215
8,2,1,400,0.138984226589628
8,3,1,400,0.139231380634222
8,4,1,400,0.139180967620649
8,1,2,400,0.139022418483256
8,2,2,400,0.138961565514597
8,3,2,400,0.139152813656242
8,4,2,400,0.139254475567951
8,1,3,400,0.138996361972618
8,2,3,400,0.138967369695716
8,3,3,400,0.139126001139683
8,4,3,400,0.139383947856544
8,1,4,400,0.139032959850313
8,2,4,400,0.138994573581342
8,3,4,400,0.139122621346718
8,4,4,400,0.139217125985039
8,1,1,500,0.138797033591417
8,2,1,500,0.138990993471017
8,3,1,500,0.139105101990332
8,4,1,500,0.139087293150308
8,1,2,500,0.138866181625973
8,2,2,500,0.139002853519412
8,3,2,500,0.139056330811689
8,4,2,500,0.139044400373168
8,1,3,500,0.138902285968452
8,2,3,500,0.13894370246319
8,3,3,500,0.13902863560746
8,4,3,500,0.139097499762839
8,1,4,500,0.13883111119102
8,2,4,500,0.138922591457598
8,3,4,500,0.139037589514735
8,4,4,500,0.139164996893492
