"row","mtry","node_size","num.trees","OOB_RMSE"
13,1,1,100,0.137800369442469
13,2,1,100,0.135066733272831
13,3,1,100,0.133924217624815
13,4,1,100,0.134192292838487
13,1,2,100,0.137768832490276
13,2,2,100,0.13517081642654
13,3,2,100,0.1344044226342
13,4,2,100,0.133531105008316
13,1,3,100,0.137753604671089
13,2,3,100,0.135010623747985
13,3,3,100,0.134108719637656
13,4,3,100,0.1340151250515
13,1,4,100,0.137831438666262
13,2,4,100,0.135241977846773
13,3,4,100,0.134102629609348
13,4,4,100,0.13394274337601
13,1,1,200,0.137595917100004
13,2,1,200,0.134491254867533
13,3,1,200,0.133412020234677
13,4,1,200,0.132909273193036
13,1,2,200,0.137714097452068
13,2,2,200,0.134368153442623
13,3,2,200,0.133572175663629
13,4,2,200,0.133219117401108
13,1,3,200,0.137640860243027
13,2,3,200,0.134514574892871
13,3,3,200,0.133649869404374
13,4,3,200,0.132949002082059
13,1,4,200,0.137611186375896
13,2,4,200,0.134494654123479
13,3,4,200,0.133652224851166
13,4,4,200,0.133017247538319
13,1,1,300,0.137563160590695
13,2,1,300,0.134389356252482
13,3,1,300,0.133130330609296
13,4,1,300,0.132788812468418
13,1,2,300,0.137566777050969
13,2,2,300,0.13429750020639
13,3,2,300,0.133159006496102
13,4,2,300,0.132729878825435
13,1,3,300,0.137641795632645
13,2,3,300,0.134392264163327
13,3,3,300,0.13327854810796
13,4,3,300,0.132976298254421
13,1,4,300,0.137592680896919
13,2,4,300,0.134483611103648
13,3,4,300,0.133196653171789
13,4,4,300,0.133004638170473
13,1,1,400,0.13761772572014
13,2,1,400,0.134166700854931
13,3,1,400,0.133033754654417
13,4,1,400,0.132511179640822
13,1,2,400,0.137629026068363
13,2,2,400,0.134244773765521
13,3,2,400,0.133140281251658
13,4,2,400,0.132859861495913
13,1,3,400,0.13769193553572
13,2,3,400,0.134328900064489
13,3,3,400,0.133214388975394
13,4,3,400,0.132746346627429
13,1,4,400,0.137698079760053
13,2,4,400,0.13441676356384
13,3,4,400,0.133358349371767
13,4,4,400,0.132829134713884
13,1,1,500,0.137560453177878
13,2,1,500,0.134115516891049
13,3,1,500,0.132890595396778
13,4,1,500,0.132397807814044
13,1,2,500,0.137538310219177
13,2,2,500,0.13410618166498
13,3,2,500,0.133185481114994
13,4,2,500,0.13261365039046
13,1,3,500,0.137696197393899
13,2,3,500,0.134223258825416
13,3,3,500,0.133062987972647
13,4,3,500,0.13259148202491
13,1,4,500,0.137527724041328
13,2,4,500,0.134256582197015
13,3,4,500,0.133101281288791
13,4,4,500,0.132625038513956
