"row","mtry","node_size","num.trees","OOB_RMSE"
14,1,1,100,0.137836526165342
14,2,1,100,0.135744596600781
14,3,1,100,0.134856635987456
14,4,1,100,0.134729396103484
14,1,2,100,0.138098344818861
14,2,2,100,0.135444489944057
14,3,2,100,0.134719943448413
14,4,2,100,0.134724194552447
14,1,3,100,0.137891511371428
14,2,3,100,0.135721589084549
14,3,3,100,0.134846860772338
14,4,3,100,0.134392786945617
14,1,4,100,0.13794216628148
14,2,4,100,0.135578738692448
14,3,4,100,0.134726673790814
14,4,4,100,0.134279985600835
14,1,1,200,0.137988865811237
14,2,1,200,0.135150534352863
14,3,1,200,0.13411427984833
14,4,1,200,0.133869424311143
14,1,2,200,0.137865320084214
14,2,2,200,0.135449115081444
14,3,2,200,0.134390848634406
14,4,2,200,0.133655253311177
14,1,3,200,0.137928544572724
14,2,3,200,0.135326770001811
14,3,3,200,0.134373009601577
14,4,3,200,0.133630000345641
14,1,4,200,0.137848250034683
14,2,4,200,0.135221757901787
14,3,4,200,0.134118893315845
14,4,4,200,0.133825013637204
14,1,1,300,0.137850150225352
14,2,1,300,0.134938748875178
14,3,1,300,0.13402697236858
14,4,1,300,0.133468892602239
14,1,2,300,0.137785607711907
14,2,2,300,0.134952528781256
14,3,2,300,0.134004278305785
14,4,2,300,0.133514104252991
14,1,3,300,0.137859177798485
14,2,3,300,0.134983457680806
14,3,3,300,0.133992464240921
14,4,3,300,0.133581565474712
14,1,4,300,0.137971640153761
14,2,4,300,0.135238875526758
14,3,4,300,0.133904449880025
14,4,4,300,0.133618860754084
14,1,1,400,0.137866949428139
14,2,1,400,0.134973950980707
14,3,1,400,0.13399841250759
14,4,1,400,0.133394744501111
14,1,2,400,0.137757960665754
14,2,2,400,0.134951895791743
14,3,2,400,0.133931630459187
14,4,2,400,0.133436826899716
14,1,3,400,0.137889386022204
14,2,3,400,0.135040690630068
14,3,3,400,0.133967173414807
14,4,3,400,0.133323443305146
14,1,4,400,0.137692027184367
14,2,4,400,0.134985362726109
14,3,4,400,0.133949369904303
14,4,4,400,0.133397811042218
14,1,1,500,0.137736476548202
14,2,1,500,0.134943567450289
14,3,1,500,0.133694884322337
14,4,1,500,0.133096360637902
14,1,2,500,0.137893157281786
14,2,2,500,0.13497940748606
14,3,2,500,0.133857587766162
14,4,2,500,0.133341290078336
14,1,3,500,0.1378622535141
14,2,3,500,0.134934206837164
14,3,3,500,0.133879851904976
14,4,3,500,0.133262317526926
14,1,4,500,0.137754438290544
14,2,4,500,0.134967609246029
14,3,4,500,0.133896089639785
14,4,4,500,0.133257613952595
