"row","mtry","node_size","num.trees","OOB_RMSE"
15,1,1,100,0.136993067433342
15,2,1,100,0.133590721225464
15,3,1,100,0.132622963519201
15,4,1,100,0.132171684272702
15,1,2,100,0.137001033717956
15,2,2,100,0.13364394727535
15,3,2,100,0.132480029176128
15,4,2,100,0.132301972415145
15,1,3,100,0.137082933094561
15,2,3,100,0.13381237996193
15,3,3,100,0.13266273462736
15,4,3,100,0.132334657340259
15,1,4,100,0.137145275046032
15,2,4,100,0.133521826887816
15,3,4,100,0.132901414042306
15,4,4,100,0.132018875376307
15,1,1,200,0.137034011864349
15,2,1,200,0.133210862776046
15,3,1,200,0.131656711667423
15,4,1,200,0.131253958648747
15,1,2,200,0.136931342968867
15,2,2,200,0.133055778639748
15,3,2,200,0.131722788349095
15,4,2,200,0.131323283264608
15,1,3,200,0.137004747049931
15,2,3,200,0.133240512421289
15,3,3,200,0.132043812059913
15,4,3,200,0.13139321349312
15,1,4,200,0.136892942377744
15,2,4,200,0.132943618754557
15,3,4,200,0.131799125087548
15,4,4,200,0.131353848377047
15,1,1,300,0.136974727477283
15,2,1,300,0.132945145552138
15,3,1,300,0.131338738431951
15,4,1,300,0.130977449226211
15,1,2,300,0.136836814949736
15,2,2,300,0.132903951577188
15,3,2,300,0.13169398082776
15,4,2,300,0.130889154553956
15,1,3,300,0.136935820007113
15,2,3,300,0.132999983290165
15,3,3,300,0.131657217382647
15,4,3,300,0.131076403162828
15,1,4,300,0.136989186842993
15,2,4,300,0.132897279933991
15,3,4,300,0.131593034714852
15,4,4,300,0.131270299192464
15,1,1,400,0.13680512126779
15,2,1,400,0.132886699529579
15,3,1,400,0.131521432280425
15,4,1,400,0.130719173441963
15,1,2,400,0.136992387213935
15,2,2,400,0.132883317818777
15,3,2,400,0.131438845468553
15,4,2,400,0.130744177141252
15,1,3,400,0.137068404858934
15,2,3,400,0.132838992419826
15,3,3,400,0.131348225773009
15,4,3,400,0.130761008310014
15,1,4,400,0.13692917073042
15,2,4,400,0.133023802098237
15,3,4,400,0.131511013624237
15,4,4,400,0.130887630100757
15,1,1,500,0.136848903478779
15,2,1,500,0.132733741437011
15,3,1,500,0.131255518838814
15,4,1,500,0.130631959939072
15,1,2,500,0.136935394345714
15,2,2,500,0.132732540168762
15,3,2,500,0.131330439952386
15,4,2,500,0.13065042215123
15,1,3,500,0.136875325487069
15,2,3,500,0.132831616483204
15,3,3,500,0.131418851885495
15,4,3,500,0.130855168585153
15,1,4,500,0.136943054304129
15,2,4,500,0.132786413978223
15,3,4,500,0.131572433316734
15,4,4,500,0.131046244081123
