"row","mtry","node_size","num.trees","OOB_RMSE"
9,1,1,100,0.136980526062541
9,2,1,100,0.136348372559021
9,3,1,100,0.136320544574842
9,4,1,100,0.136318402546757
9,1,2,100,0.137058262795138
9,2,2,100,0.136447309363222
9,3,2,100,0.13625065499995
9,4,2,100,0.135962969916895
9,1,3,100,0.136822385240323
9,2,3,100,0.136178112411012
9,3,3,100,0.136156770214381
9,4,3,100,0.135810818804176
9,1,4,100,0.136966557047175
9,2,4,100,0.136461387962762
9,3,4,100,0.135809336597777
9,4,4,100,0.135887453220918
9,1,1,200,0.136664188176794
9,2,1,200,0.135400717352403
9,3,1,200,0.135095025508868
9,4,1,200,0.134928694241459
9,1,2,200,0.136516288183119
9,2,2,200,0.13541814952579
9,3,2,200,0.135275707556226
9,4,2,200,0.134979864913571
9,1,3,200,0.136536193516695
9,2,3,200,0.135585871483994
9,3,3,200,0.135266132559258
9,4,3,200,0.135045009493606
9,1,4,200,0.136518407389478
9,2,4,200,0.135661233526913
9,3,4,200,0.135202480582999
9,4,4,200,0.135253627731838
9,1,1,300,0.136211974540324
9,2,1,300,0.135300468757338
9,3,1,300,0.134815638459435
9,4,1,300,0.134827796250195
9,1,2,300,0.136308811948911
9,2,2,300,0.135248965920991
9,3,2,300,0.134677375090675
9,4,2,300,0.134898329232544
9,1,3,300,0.13634545862435
9,2,3,300,0.135293218056389
9,3,3,300,0.13504355446622
9,4,3,300,0.134779814601557
9,1,4,300,0.136344462193978
9,2,4,300,0.135335511848266
9,3,4,300,0.13483328110214
9,4,4,300,0.134810615264704
9,1,1,400,0.136220466292246
9,2,1,400,0.135035167234086
9,3,1,400,0.134640311783364
9,4,1,400,0.134533831429045
9,1,2,400,0.136194843694482
9,2,2,400,0.135101797030732
9,3,2,400,0.134591626138308
9,4,2,400,0.134640935522026
9,1,3,400,0.136262215202359
9,2,3,400,0.135105849551567
9,3,3,400,0.134889516034545
9,4,3,400,0.13469736295728
9,1,4,400,0.136177967712931
9,2,4,400,0.135059551107555
9,3,4,400,0.134926041967049
9,4,4,400,0.134629433470861
9,1,1,500,0.136179430569738
9,2,1,500,0.134956536098308
9,3,1,500,0.134657028717073
9,4,1,500,0.134437536492747
9,1,2,500,0.136188564818762
9,2,2,500,0.13502367840962
9,3,2,500,0.134708827720251
9,4,2,500,0.134570542032105
9,1,3,500,0.136168307099246
9,2,3,500,0.135072369674034
9,3,3,500,0.134696292567973
9,4,3,500,0.134614974171245
9,1,4,500,0.136278881855395
9,2,4,500,0.135076868463628
9,3,4,500,0.134691618697725
9,4,4,500,0.134558189565434
