"row","mtry","node_size","num.trees","OOB_RMSE"
3,1,1,100,0.136703110120541
3,2,1,100,0.13825053676817
3,3,1,100,0.139792842315021
3,4,1,100,0.140389346519186
3,1,2,100,0.136664070779589
3,2,2,100,0.138304913417692
3,3,2,100,0.139695770013483
3,4,2,100,0.140283655497867
3,1,3,100,0.136638974939962
3,2,3,100,0.138428910156711
3,3,3,100,0.139775301720697
3,4,3,100,0.140354516371508
3,1,4,100,0.13670289890026
3,2,4,100,0.138164607150151
3,3,4,100,0.139620480936267
3,4,4,100,0.140318182127861
3,1,1,200,0.136654335231736
3,2,1,200,0.138135550135295
3,3,1,200,0.13971914053962
3,4,1,200,0.140230840739323
3,1,2,200,0.136638800879939
3,2,2,200,0.138302807070242
3,3,2,200,0.139799084791713
3,4,2,200,0.140267643063323
3,1,3,200,0.136674118470435
3,2,3,200,0.138267499399538
3,3,3,200,0.139736460907166
3,4,3,200,0.140171793005167
3,1,4,200,0.136619853900785
3,2,4,200,0.138185642114519
3,3,4,200,0.13974736872337
3,4,4,200,0.140098267658972
3,1,1,300,0.136622900094254
3,2,1,300,0.13816349618525
3,3,1,300,0.139649135736984
3,4,1,300,0.140223182921498
3,1,2,300,0.136628538953105
3,2,2,300,0.138194839037927
3,3,2,300,0.139681601948206
3,4,2,300,0.140182689519852
3,1,3,300,0.136636627496055
3,2,3,300,0.138198722056482
3,3,3,300,0.139690135803659
3,4,3,300,0.140118480779677
3,1,4,300,0.136650786992691
3,2,4,300,0.138199268773327
3,3,4,300,0.139706528979199
3,4,4,300,0.140210196972828
3,1,1,400,0.136604275216723
3,2,1,400,0.13817620174403
3,3,1,400,0.139676384446761
3,4,1,400,0.140174976563926
3,1,2,400,0.136637792049379
3,2,2,400,0.138254738194567
3,3,2,400,0.139600626753202
3,4,2,400,0.140168654603235
3,1,3,400,0.136657810254123
3,2,3,400,0.138217302761859
3,3,3,400,0.139682230403665
3,4,3,400,0.140190826050338
3,1,4,400,0.136589789617839
3,2,4,400,0.138175879891016
3,3,4,400,0.139671564164923
3,4,4,400,0.140148555902785
3,1,1,500,0.136624184597346
3,2,1,500,0.138164294479114
3,3,1,500,0.139704947295632
3,4,1,500,0.140167176876052
3,1,2,500,0.13661453902334
3,2,2,500,0.138176015884401
3,3,2,500,0.139643530835852
3,4,2,500,0.140173763295807
3,1,3,500,0.13660379284018
3,2,3,500,0.138187220424617
3,3,3,500,0.139670522444087
3,4,3,500,0.14026507560854
3,1,4,500,0.136603682421416
3,2,4,500,0.13818108348575
3,3,4,500,0.139673847895545
3,4,4,500,0.14013357852361
