"row","mtry","node_size","num.trees","OOB_RMSE"
1,1,1,100,0.137187695243833
1,2,1,100,0.137681694404301
1,3,1,100,0.13895763403992
1,4,1,100,0.139806622892676
1,1,2,100,0.137222046752864
1,2,2,100,0.137516735244604
1,3,2,100,0.138889662724058
1,4,2,100,0.139982049346765
1,1,3,100,0.137077917267757
1,2,3,100,0.137596667535679
1,3,3,100,0.139013237104542
1,4,3,100,0.139937086970359
1,1,4,100,0.137184659240581
1,2,4,100,0.137493296634629
1,3,4,100,0.138964621579701
1,4,4,100,0.139861066032083
1,1,1,200,0.137201059105072
1,2,1,200,0.137407077560145
1,3,1,200,0.13892741191924
1,4,1,200,0.139819890686099
1,1,2,200,0.137128692285518
1,2,2,200,0.137426783901689
1,3,2,200,0.138997008890015
1,4,2,200,0.139832551105163
1,1,3,200,0.137238590720166
1,2,3,200,0.137611735710188
1,3,3,200,0.139091494847188
1,4,3,200,0.139794982892291
1,1,4,200,0.137225398837662
1,2,4,200,0.137528213946712
1,3,4,200,0.139002642599181
1,4,4,200,0.139789223485685
1,1,1,300,0.137087646275331
1,2,1,300,0.13753643402126
1,3,1,300,0.138924662128085
1,4,1,300,0.139781692783548
1,1,2,300,0.13717289548477
1,2,2,300,0.137489424110454
1,3,2,300,0.138951769903841
1,4,2,300,0.139776262274707
1,1,3,300,0.13718836711063
1,2,3,300,0.137474524287199
1,3,3,300,0.138882913894184
1,4,3,300,0.139804539931725
1,1,4,300,0.137165675504798
1,2,4,300,0.137438861694191
1,3,4,300,0.138897316095737
1,4,4,300,0.139774858335482
1,1,1,400,0.137124344475508
1,2,1,400,0.137418041242919
1,3,1,400,0.138919378486699
1,4,1,400,0.139803765674434
1,1,2,400,0.137137499135244
1,2,2,400,0.137497321367129
1,3,2,400,0.138907588881883
1,4,2,400,0.139765618557661
1,1,3,400,0.137146931320002
1,2,3,400,0.137429567112059
1,3,3,400,0.138846451265348
1,4,3,400,0.13975862876477
1,1,4,400,0.137179431835485
1,2,4,400,0.13742574237849
1,3,4,400,0.138882577782041
1,4,4,400,0.139754171047484
1,1,1,500,0.137145825494997
1,2,1,500,0.137375459765687
1,3,1,500,0.138847668015224
1,4,1,500,0.139824250188554
1,1,2,500,0.137143865151535
1,2,2,500,0.137413081979271
1,3,2,500,0.138870687684277
1,4,2,500,0.139780096083632
1,1,3,500,0.137161257599893
1,2,3,500,0.137456263748853
1,3,3,500,0.138884505532174
1,4,3,500,0.139806762725651
1,1,4,500,0.137170934284728
1,2,4,500,0.137429265615825
1,3,4,500,0.1389034359392
1,4,4,500,0.139799290801836
