"row","mtry","node_size","num.trees","OOB_RMSE"
10,1,1,100,0.137882314711904
10,2,1,100,0.137458696968542
10,3,1,100,0.137223165247096
10,4,1,100,0.137153353079156
10,1,2,100,0.137812479859
10,2,2,100,0.137381870218974
10,3,2,100,0.13738182996438
10,4,2,100,0.13660462460768
10,1,3,100,0.137853613017119
10,2,3,100,0.13746495867292
10,3,3,100,0.136898787507104
10,4,3,100,0.136753886098856
10,1,4,100,0.137780847728231
10,2,4,100,0.137408534550817
10,3,4,100,0.137060345557519
10,4,4,100,0.137255813095809
10,1,1,200,0.137290445041171
10,2,1,200,0.136411119699615
10,3,1,200,0.136457188705282
10,4,1,200,0.136196799529607
10,1,2,200,0.136912902832229
10,2,2,200,0.136443350568824
10,3,2,200,0.136373603245028
10,4,2,200,0.136143753631622
10,1,3,200,0.137216663704254
10,2,3,200,0.136327301322064
10,3,3,200,0.136324089119135
10,4,3,200,0.136217538682107
10,1,4,200,0.137260493054652
10,2,4,200,0.136468745049242
10,3,4,200,0.136209520941575
10,4,4,200,0.136142297341044
10,1,1,300,0.13685395996027
10,2,1,300,0.136291541739357
10,3,1,300,0.136086522952251
10,4,1,300,0.136038679114449
10,1,2,300,0.136899355276795
10,2,2,300,0.136138246089484
10,3,2,300,0.135840578108618
10,4,2,300,0.136032374313733
10,1,3,300,0.136928198827826
10,2,3,300,0.136154056951011
10,3,3,300,0.136045969750033
10,4,3,300,0.136030659100094
10,1,4,300,0.13693658089325
10,2,4,300,0.13636178343954
10,3,4,300,0.136079382868003
10,4,4,300,0.135937362439902
10,1,1,400,0.136764653287511
10,2,1,400,0.136075877319615
10,3,1,400,0.135834544563657
10,4,1,400,0.135815244740416
10,1,2,400,0.136809273831038
10,2,2,400,0.136058013414512
10,3,2,400,0.136006047858811
10,4,2,400,0.135791063566742
10,1,3,400,0.136714692537723
10,2,3,400,0.136153959232497
10,3,3,400,0.135818434820898
10,4,3,400,0.135799311235725
10,1,4,400,0.136946758427849
10,2,4,400,0.136136346934381
10,3,4,400,0.135912953763589
10,4,4,400,0.135830710953221
10,1,1,500,0.136568347458629
10,2,1,500,0.136088603490957
10,3,1,500,0.135834863192738
10,4,1,500,0.135636443304413
10,1,2,500,0.136770259595196
10,2,2,500,0.136059478227331
10,3,2,500,0.135747853322424
10,4,2,500,0.135801776879892
10,1,3,500,0.136751306295687
10,2,3,500,0.13594304892385
10,3,3,500,0.135845090903393
10,4,3,500,0.135694523735425
10,1,4,500,0.136687554226742
10,2,4,500,0.136038156445808
10,3,4,500,0.135788002025183
10,4,4,500,0.135793910727038
